git.bianfeng.com      192.168.135.54  
card.bianfeng.com      114.80.171.11  
monitor.bianfeng.com      114.80.171.13  
cj.bianfeng.com      221.231.129.22  
feedback.bianfeng.com      120.26.1.104  
spam.bianfeng.com      60.191.38.222  
ts.bianfeng.com      118.178.143.198  
cas.bianfeng.com      115.238.30.10  
doc.bianfeng.com      121.41.33.162  
register.bianfeng.com      59.83.211.238  
pay.bianfeng.com      47.97.98.210  
hub.bianfeng.com      47.110.138.9  
kf.bianfeng.com      139.196.232.213  
track.bianfeng.com      121.52.225.12  
play.bianfeng.com      115.159.103.235  
books.bianfeng.com      106.15.60.218  
tt.bianfeng.com      221.228.215.80  
box.bianfeng.com      139.224.226.27  
mail.bianfeng.com      60.191.38.222  
dev.bianfeng.com      192.168.135.219  
eis.bianfeng.com      47.110.138.9  
docs.bianfeng.com      121.41.33.162  
sip.bianfeng.com      60.191.38.216  
lyncdiscover.bianfeng.com      60.191.38.216  
api.bianfeng.com      116.62.90.144  
happy.bianfeng.com      120.27.140.171  
dialin.bianfeng.com      60.191.38.216  
hr.bianfeng.com      47.110.138.9  
login.bianfeng.com      61.156.50.143,42.48.110.83  
help.bianfeng.com      101.37.163.92  
admin.bianfeng.com      60.191.38.216  
yy.bianfeng.com      114.55.16.97  
mm.bianfeng.com      139.196.253.10  
pop3.bianfeng.com      60.191.38.222  
autodiscover.bianfeng.com      60.191.38.222  
www.bianfeng.com      61.164.152.85  
office.bianfeng.com      60.191.38.216  
webapp.bianfeng.com      60.191.38.218  
support.bianfeng.com      114.80.171.13  
app.bianfeng.com      211.159.217.149  
report.bianfeng.com      114.80.171.13  
meet.bianfeng.com      60.191.38.216  
download.bianfeng.com      122.228.90.57  
home.bianfeng.com      122.228.90.41  
mail2.bianfeng.com      60.191.38.222  
svn.bianfeng.com      192.168.136.70  
account.bianfeng.com      47.110.138.219  
mx1.bianfeng.com      60.191.38.222  
safe.bianfeng.com      61.156.243.6  
channel.bianfeng.com      115.238.30.59  登陆
bf.bianfeng.com      116.153.34.198,116.153.35.245,36.249.67.104,36.249.75.116,116.153.35.242,116.153.34.192,36.249.67.105,36.249.75.117,116.153.35.243,116.153.34.195,116.153.35.244  
we.bianfeng.com      61.156.243.6  
pool.bianfeng.com      60.191.38.216  
aq.bianfeng.com      115.159.103.235  
url.bianfeng.com      58.215.45.218  
oauth.bianfeng.com      115.238.30.10  
yj.bianfeng.com      120.27.237.238  
activity.bianfeng.com      120.55.26.168  
mapi.bianfeng.com      112.124.16.18  
h5.bianfeng.com      120.27.140.171  
wechat.bianfeng.com      101.37.36.171  
lobby.bianfeng.com      218.244.140.17  /data/www/UniPayCenter/vendor/laravel/lumen-framework/src/Application.php
cpa.bianfeng.com      180.153.250.134  
