dl.qiyuesuo.com      122.193.130.98  
auth.qiyuesuo.com      120.55.248.1  
gw.qiyuesuo.com      120.55.248.1  
open.qiyuesuo.com      120.55.248.1  
time.qiyuesuo.com      120.55.248.1  
smtp.qiyuesuo.com      42.120.226.4,42.120.219.29  
pop3.qiyuesuo.com      42.120.214.11,42.120.149.7,42.120.226.2,140.205.28.135,42.120.151.2,42.120.219.25  
mobile.qiyuesuo.com      120.55.248.1  
m.qiyuesuo.com      120.55.248.1  
www.qiyuesuo.com      120.55.248.1  
mail.qiyuesuo.com      42.120.158.76,42.156.140.99,42.120.219.1,42.120.226.7,42.120.226.13  
oss.qiyuesuo.com      120.55.248.1  
help.qiyuesuo.com      120.55.248.1  
demo.qiyuesuo.com      120.55.248.1  
cdn.qiyuesuo.com      122.193.130.100  
cloud.qiyuesuo.com      120.55.248.1  
passport.qiyuesuo.com      120.55.248.1  
openapi.qiyuesuo.com      120.55.248.1  
sign.qiyuesuo.com      120.55.248.1  
